team,games_played,total_points,gd,total_gd,strength_score_static
Bækkelaget,4,12,1,18,16.5
Bækkelaget,3,9,4,17,14.67
Bækkelaget,2,6,10,13,12.5
Bækkelaget,1,3,3,3,6
Bækkelaget,1,3,0,3,6
Bækkelaget,1,3,0,3,6
Bækkelaget,0,0,0,0,0
Grei,0,0,0,0,0
Grei,5,0,-4,-31,-6.2
Grei,4,0,-1,-27,-6.75
Grei,2,0,-7,-16,-8
Grei,2,0,0,-16,-8
Grei,3,0,-10,-26,-8.67
Grei,1,0,-9,-9,-9
Hasle-Løren/VIF,4,8,0,10,10.5
Hasle-Løren/VIF,5,8,-1,9,9.8
Hasle-Løren/VIF,3,7,0,10,10.33
Hasle-Løren/VIF,2,6,7,10,11
Hasle-Løren/VIF,2,6,0,10,11
Hasle-Løren/VIF,1,3,3,3,6
Hasle-Løren/VIF,0,0,0,0,0
KFUM,4,9,2,12,12
KFUM,5,9,-1,11,11.2
KFUM,3,6,11,10,9.33
KFUM,3,6,0,10,9.33
KFUM,2,3,2,-1,2.5
KFUM,2,3,0,-1,2.5
KFUM,0,0,0,0,0
KFUM,1,0,-3,-3,-3
Kolbotn,5,7,4,4,7.8
Kolbotn,4,4,5,0,4
Kolbotn,3,1,0,-5,-0.67
Kolbotn,0,0,0,0,0
Kolbotn,2,0,-2,-5,-2.5
Kolbotn,2,0,0,-5,-2.5
Kolbotn,1,0,-3,-3,-3
Lyn,4,8,7,8,10
Lyn,3,5,1,1,5.33
Lyn,2,2,0,0,2
Lyn,1,1,0,0,1
Lyn,1,1,0,0,1
Lyn,1,1,0,0,1
Lyn,0,0,0,0,0
Manglerud Star/RASK/LIF,4,4,1,-2,3.5
Manglerud Star/RASK/LIF,2,1,0,-1,0.5
Manglerud Star/RASK/LIF,2,1,0,-1,0.5
Manglerud Star/RASK/LIF,3,1,-2,-3,0
Manglerud Star/RASK/LIF,0,0,0,0,0
Manglerud Star/RASK/LIF,1,0,-1,-1,-1
Manglerud Star/RASK/LIF,1,0,0,-1,-1
Manglerud Star/RASK/LIF,1,0,0,-1,-1
Ready,2,6,1,2,7
Ready,3,6,-4,-2,5.33
Ready,4,6,-7,-9,3.75
Ready,1,3,1,1,4
Ready,1,3,0,1,4
Ready,1,3,0,1,4
Ready,0,0,0,0,0
Skeid/Grüner/Sagene,4,7,1,9,9.25
Skeid/Grüner/Sagene,3,4,0,8,6.67
Skeid/Grüner/Sagene,1,3,9,9,12
Skeid/Grüner/Sagene,1,3,0,9,12
Skeid/Grüner/Sagene,1,3,0,9,12
Skeid/Grüner/Sagene,2,3,-1,8,7
Skeid/Grüner/Sagene,0,0,0,0,0
Årvoll,1,1,0,0,1
Årvoll,1,1,0,0,1
Årvoll,1,1,0,0,1
Årvoll,4,1,-1,-17,-3.25
Årvoll,3,1,-5,-16,-4.33
Årvoll,2,1,-11,-11,-4.5
Årvoll,0,0,0,0,0
